stopOrGo,arrowDirection,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,thisRow.t,notes,PracticeFix_onset_coreTime,PracticeFix_onset_datetime,PracticeTrial_onset_coreTime,PracticeTrial_onset_datetime,PracticeFuel_onset_coreTime,PracticeFuel_onset_datetime,PracticeITI_onset_coreTime,PracticeITI_onset_datetime,arrowDir,SSD_used,response,rt,correct,participant,session,doPractice,date,coreTime,
stop,left,0,0,0,6,,,20.909533999991254,2025-03-11_16:13:15.199242,23.881661899999017,2025-03-11_16:13:18.171447,24.102935699993395,2025-03-11_16:13:18.392648,24.486339399998542,2025-03-11_16:13:18.776206,left,0.15000000000000002,left,0.5703624000016134,False,278094,001,True,2025-03-11_161258.627952,1969-12-31_160004.338089,
go,right,0,1,1,1,,,25.197002100001555,2025-03-11_16:13:19.486978,27.929183799991733,2025-03-11_16:13:22.218776,,,28.41974329999357,2025-03-11_16:13:22.709772,right,0,right,0.4582146000029752,True,278094,001,True,2025-03-11_161258.627952,1969-12-31_160004.338089,
go,right,0,2,2,5,,,29.288911600000574,2025-03-11_16:13:23.578883,31.674849099988933,2025-03-11_16:13:25.964712,,,32.236739999993006,2025-03-11_16:13:26.526395,right,0,right,0.5285210000001825,True,278094,001,True,2025-03-11_161258.627952,1969-12-31_160004.338089,
stop,right,0,3,3,7,,,32.80513019999489,2025-03-11_16:13:27.095080,35.26979459999711,2025-03-11_16:13:29.559537,35.436926599999424,2025-03-11_16:13:29.726250,36.553482699993765,2025-03-11_16:13:30.843218,right,0.10000000000000002,None,None,False,278094,001,True,2025-03-11_161258.627952,1969-12-31_160004.338089,
go,right,0,4,4,3,,,37.361719199994695,2025-03-11_16:13:31.651546,39.5509286000015,2025-03-11_16:13:33.840766,,,40.83657289999246,2025-03-11_16:13:35.126360,right,0,None,None,False,278094,001,True,2025-03-11_161258.627952,1969-12-31_160004.338089,
go,left,0,5,5,4,,,41.53513910000038,2025-03-11_16:13:35.825122,43.61687969999912,2025-03-11_16:13:37.906634,,,44.90303689999564,2025-03-11_16:13:39.192613,left,0,None,None,False,278094,001,True,2025-03-11_161258.627952,1969-12-31_160004.338089,
go,left,0,6,6,2,,,45.70453279999492,2025-03-11_16:13:39.994240,47.97714160000032,2025-03-11_16:13:42.266392,,,49.2698046000005,2025-03-11_16:13:43.559323,left,0,None,None,False,278094,001,True,2025-03-11_161258.627952,1969-12-31_160004.338089,
,,,,,,,,50.209229499989306,2025-03-11_16:13:44.499023,,,,,,,,,,,,,,,,,
