stopOrGo,arrowDirection,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,thisRow.t,notes,PracticeFix_onset_coreTime,PracticeFix_onset_datetime,PracticeTrial_onset_coreTime,PracticeTrial_onset_datetime,PracticeITI_onset_coreTime,PracticeITI_onset_datetime,arrowDir,SSD_used,response,rt,correct,PracticeFuel_onset_coreTime,PracticeFuel_onset_datetime,participant,session,doPractice,date,coreTime,
go,left,0,0,0,0,,,15.361939800000982,2025-03-11_15:07:54.635371,17.532366700004786,2025-03-11_15:07:56.806010,18.23946579999756,2025-03-11_15:07:57.513120,left,0,left,0.6737361999985296,True,,,100704,001,True,2025-03-11_150742.833992,1969-12-31_160003.560872,
stop,right,0,1,1,7,,,18.993013700004667,2025-03-11_15:07:58.266528,21.129020199994557,2025-03-11_15:08:00.402210,21.6893257000047,2025-03-11_15:08:00.963025,right,0.15000000000000002,right,0.5247067000018433,False,21.35600549999799,2025-03-11_15:08:00.629593,100704,001,True,2025-03-11_150742.833992,1969-12-31_160003.560872,
,,,,,,,,22.241755800001556,2025-03-11_15:08:01.515235,,,,,,,,,,,,,,,,,
