stopOrGo,arrowDirection,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,thisRow.t,notes,PracticeFix_onset_coreTime,PracticeFix_onset_datetime,PracticeTrial_onset_coreTime,PracticeTrial_onset_datetime,PracticeITI_onset_coreTime,PracticeITI_onset_datetime,arrowDir,SSD_used,response,rt,correct,PracticeFuel_onset_coreTime,PracticeFuel_onset_datetime,participant,session,doPractice,date,coreTime,
go,left,0,0,0,4,,,26.43688639999891,2025-03-11_16:08:13.764882,28.830745400002343,2025-03-11_16:08:16.159432,30.11537450000469,2025-03-11_16:08:17.443996,left,0,None,None,False,,,638225,001,True,2025-03-11_160751.097739,1969-12-31_160003.769261,
go,right,0,1,1,1,,,31.038030399999116,2025-03-11_16:08:18.366666,33.930916800003615,2025-03-11_16:08:21.259834,34.88169789999665,2025-03-11_16:08:22.210350,right,0,right,0.9063046000082977,True,,,638225,001,True,2025-03-11_160751.097739,1969-12-31_160003.769261,
stop,left,0,2,2,6,,,35.522351999999955,2025-03-11_16:08:22.851111,37.81248839999898,2025-03-11_16:08:25.141206,38.56540809999569,2025-03-11_16:08:25.893944,left,0.15000000000000002,left,0.7123455999972066,False,38.031894500003546,2025-03-11_16:08:25.360697,638225,001,True,2025-03-11_160751.097739,1969-12-31_160003.769261,
,,,,,,,,39.55399689999467,2025-03-11_16:08:26.882797,,,,,,,,,,,,,,,,,
