stopOrGo,arrowDirection,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,mainBlocks.thisRepN,mainBlocks.thisTrialN,mainBlocks.thisN,mainBlocks.thisIndex,trialsBlock.thisRepN,trialsBlock.thisTrialN,trialsBlock.thisN,trialsBlock.thisIndex,thisRow.t,notes,PracticeFix_onset_coreTime,PracticeFix_onset_datetime,PracticeTrial_onset_coreTime,PracticeTrial_onset_datetime,PracticeFuel_onset_coreTime,PracticeFuel_onset_datetime,PracticeITI_onset_coreTime,PracticeITI_onset_datetime,arrowDir,SSD_used,response,rt,correct,Block1_Fix_onset_coreTime,Block1_Fix_onset_datetime,Block1_Trial_onset_coreTime,Block1_Trial_onset_datetime,Block1_ITI_onset_coreTime,Block1_ITI_onset_datetime,Block1_Fuel_onset_coreTime,Block1_Fuel_onset_datetime,Block2_Fix_onset_coreTime,Block2_Fix_onset_datetime,Block2_Trial_onset_coreTime,Block2_Trial_onset_datetime,Block2_ITI_onset_coreTime,Block2_ITI_onset_datetime,Block2_Fuel_onset_coreTime,Block2_Fuel_onset_datetime,Block3_Fix_onset_coreTime,Block3_Fix_onset_datetime,Block3_Trial_onset_coreTime,Block3_Trial_onset_datetime,Block3_ITI_onset_coreTime,Block3_ITI_onset_datetime,Block3_Fuel_onset_coreTime,Block3_Fuel_onset_datetime,participant,session,doPractice,
stop,right,,,,,1,0,1,0,1,6,14,7,,,,,,,,,,,right,1.3877787807814457e-17,None,None,False,,,,,,,,,262.35293919999094,2025-03-11_14:07:33.946031,265.05714889999945,2025-03-11_14:07:36.650375,266.3547696000023,2025-03-11_14:07:37.947953,265.13864569998987,2025-03-11_14:07:36.731094,,,,,,,,,neda,001,True,
go,right,,,,,1,0,1,0,1,7,15,1,,,,,,,,,,,right,0,None,None,False,,,,,,,,,267.0191527999996,2025-03-11_14:07:38.611968,269.03346419999434,2025-03-11_14:07:40.625895,270.32178249998833,2025-03-11_14:07:41.915059,,,,,,,,,,,neda,001,True,
go,left,,,,,2,0,2,0,0,0,0,4,,,,,,,,,,,left,0,right,0.48710830000345595,False,,,,,,,,,,,,,,,,,353.4853779999976,2025-03-11_14:09:05.078528,355.65646159999596,2025-03-11_14:09:07.249589,356.1890359999961,2025-03-11_14:09:07.781892,,,neda,001,True,
stop,left,,,,,2,0,2,0,0,1,1,6,,,,,,,,,,,left,0,right,0.3778694000066025,False,,,,,,,,,,,,,,,,,356.867957800001,2025-03-11_14:09:08.460516,359.30280910000147,2025-03-11_14:09:10.895989,359.72192989999894,2025-03-11_14:09:11.315094,359.30546389998926,2025-03-11_14:09:10.898588,neda,001,True,
go,right,,,,,2,0,2,0,0,2,2,3,,,,,,,,,,,right,0,right,1.1477740999980597,True,,,,,,,,,,,,,,,,,360.2673853000015,2025-03-11_14:09:11.860578,363.03740539999853,2025-03-11_14:09:14.630667,364.22168729999976,2025-03-11_14:09:15.814576,,,neda,001,True,
stop,right,,,,,2,0,2,0,0,3,3,7,,,,,,,,,,,right,0.05,down,0.6877188999933423,True,,,,,,,,,,,,,,,,,364.7738654999994,2025-03-11_14:09:16.367134,367.5209111000004,2025-03-11_14:09:19.113958,368.2550676999963,2025-03-11_14:09:19.847596,367.5233332999924,2025-03-11_14:09:19.116547,neda,001,True,
go,right,,,,,2,0,2,0,0,4,4,1,,,,,,,,,,,right,0,right,0.5534935000032419,True,,,,,,,,,,,,,,,,,369.0101277999929,2025-03-11_14:09:20.603427,371.79049549999763,2025-03-11_14:09:23.383244,372.38843690000067,2025-03-11_14:09:23.981344,,,neda,001,True,
go,right,,,,,2,0,2,0,0,5,5,5,,,,,,,,,,,right,0,right,0.5092829999921378,True,,,,,,,,,,,,,,,,,373.24911549998797,2025-03-11_14:09:24.842241,375.53920559999824,2025-03-11_14:09:27.132289,376.0885707999987,2025-03-11_14:09:27.681390,,,neda,001,True,
go,left,,,,,2,0,2,0,0,6,6,2,,,,,,,,,,,left,0,left,0.5838876999914646,True,,,,,,,,,,,,,,,,,376.947765799996,2025-03-11_14:09:28.541026,379.2726929999917,2025-03-11_14:09:30.865605,379.8880303999904,2025-03-11_14:09:31.481074,,,neda,001,True,
go,left,,,,,2,0,2,0,0,7,7,0,,,,,,,,,,,left,0,left,0.5172258999955375,True,,,,,,,,,,,,,,,,,380.717459099993,2025-03-11_14:09:32.310645,383.0191546999995,2025-03-11_14:09:34.612179,383.5715529000008,2025-03-11_14:09:35.164324,,,neda,001,True,
go,left,,,,,2,0,2,0,1,0,8,4,,,,,,,,,,,left,0,left,0.5350616999930935,True,,,,,,,,,,,,,,,,,384.3853291999985,2025-03-11_14:09:35.978503,387.28939399999217,2025-03-11_14:09:38.882368,387.8553347999987,2025-03-11_14:09:39.448199,,,neda,001,True,
go,right,,,,,2,0,2,0,1,1,9,3,,,,,,,,,,,right,0,right,0.5960133999906247,True,,,,,,,,,,,,,,,,,388.4992116999929,2025-03-11_14:09:40.092400,391.33283179999853,2025-03-11_14:09:42.925474,391.97144399999524,2025-03-11_14:09:43.564401,,,neda,001,True,
go,right,,,,,2,0,2,0,1,2,10,5,,,,,,,,,,,right,0,right,0.7963652000034926,True,,,,,,,,,,,,,,,,,392.5923354999977,2025-03-11_14:09:44.185503,394.73218639999686,2025-03-11_14:09:46.325375,395.57213599998795,2025-03-11_14:09:47.164545,,,neda,001,True,
go,right,,,,,2,0,2,0,1,3,11,1,,,,,,,,,,,right,0,right,0.5291026000049897,True,,,,,,,,,,,,,,,,,396.5066095999937,2025-03-11_14:09:48.099823,399.1912677999935,2025-03-11_14:09:50.784241,399.75452309999673,2025-03-11_14:09:51.346909,,,neda,001,True,
stop,right,,,,,2,0,2,0,1,4,12,7,,,,,,,,,,,right,0.1,down,0.5922426999895833,True,,,,,,,,,,,,,,,,,400.728117199993,2025-03-11_14:09:52.321323,403.01600399999006,2025-03-11_14:09:54.609130,403.65464419999626,2025-03-11_14:09:55.247773,403.08804399998917,2025-03-11_14:09:54.681420,neda,001,True,
stop,left,,,,,2,0,2,0,1,5,13,6,,,,,,,,,,,left,0.15000000000000002,down,0.760032099991804,True,,,,,,,,,,,,,,,,,404.4829098999908,2025-03-11_14:09:56.076019,406.6164524999913,2025-03-11_14:09:58.209577,407.42150919999403,2025-03-11_14:09:59.014694,406.73835499999404,2025-03-11_14:09:58.331192,neda,001,True,
go,left,,,,,2,0,2,0,1,6,14,2,,,,,,,,,,,left,0,left,0.9128346999932546,True,,,,,,,,,,,,,,,,,408.3901317999989,2025-03-11_14:09:59.983254,410.9603449999995,2025-03-11_14:10:02.553582,411.90494399999443,2025-03-11_14:10:03.497953,,,neda,001,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.4663874999969,2025-03-11_14:10:04.059588,,,,,,,,,,
